@runq_delay_us: 
[1]                 6583 |@@@@@@@@@@@                                         |
[2, 4)             29317 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              7253 |@@@@@@@@@@@@                                        |
[8, 16)             1685 |@@                                                  |
[16, 32)            1339 |@@                                                  |
[32, 64)            1752 |@@@                                                 |
[64, 128)            342 |                                                    |
[128, 256)           186 |                                                    |
[256, 512)           102 |                                                    |
[512, 1K)            112 |                                                    |
[1K, 2K)              60 |                                                    |
[2K, 4K)              61 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 95957
@runq_delay_us: 
[0]                  369 |                                                    |
[1]                 6733 |@@@@@@@@@@@                                         |
[2, 4)             30341 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              7489 |@@@@@@@@@@@@                                        |
[8, 16)             1727 |@@                                                  |
[16, 32)            1363 |@@                                                  |
[32, 64)            1768 |@@@                                                 |
[64, 128)            345 |                                                    |
[128, 256)           186 |                                                    |
[256, 512)           104 |                                                    |
[512, 1K)            113 |                                                    |
[1K, 2K)              60 |                                                    |
[2K, 4K)              61 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 98926
@runq_delay_us: 
[0]                  373 |                                                    |
[1]                 6956 |@@@@@@@@@@@                                         |
[2, 4)             31346 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              7736 |@@@@@@@@@@@@                                        |
[8, 16)             1760 |@@                                                  |
[16, 32)            1384 |@@                                                  |
[32, 64)            1779 |@@                                                  |
[64, 128)            345 |                                                    |
[128, 256)           187 |                                                    |
[256, 512)           106 |                                                    |
[512, 1K)            115 |                                                    |
[1K, 2K)              60 |                                                    |
[2K, 4K)              61 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 101999
@runq_delay_us: 
[0]                  401 |                                                    |
[1]                 7274 |@@@@@@@@@@@                                         |
[2, 4)             32405 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              8005 |@@@@@@@@@@@@                                        |
[8, 16)             1817 |@@                                                  |
[16, 32)            1410 |@@                                                  |
[32, 64)            1811 |@@                                                  |
[64, 128)            365 |                                                    |
[128, 256)           196 |                                                    |
[256, 512)           114 |                                                    |
[512, 1K)            124 |                                                    |
[1K, 2K)              64 |                                                    |
[2K, 4K)              63 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 105573
@runq_delay_us: 
[0]                  406 |                                                    |
[1]                 7497 |@@@@@@@@@@@                                         |
[2, 4)             33546 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              8282 |@@@@@@@@@@@@                                        |
[8, 16)             1865 |@@                                                  |
[16, 32)            1473 |@@                                                  |
[32, 64)            1841 |@@                                                  |
[64, 128)            367 |                                                    |
[128, 256)           199 |                                                    |
[256, 512)           115 |                                                    |
[512, 1K)            125 |                                                    |
[1K, 2K)              64 |                                                    |
[2K, 4K)              63 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 109077
@runq_delay_us: 
[0]                  413 |                                                    |
[1]                 7728 |@@@@@@@@@@@                                         |
[2, 4)             34580 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              8563 |@@@@@@@@@@@@                                        |
[8, 16)             1902 |@@                                                  |
[16, 32)            1508 |@@                                                  |
[32, 64)            1862 |@@                                                  |
[64, 128)            377 |                                                    |
[128, 256)           200 |                                                    |
[256, 512)           116 |                                                    |
[512, 1K)            127 |                                                    |
[1K, 2K)              64 |                                                    |
[2K, 4K)              63 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 112331
@runq_delay_us: 
[0]                  423 |                                                    |
[1]                 8006 |@@@@@@@@@@@                                         |
[2, 4)             35516 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              8810 |@@@@@@@@@@@@                                        |
[8, 16)             1939 |@@                                                  |
[16, 32)            1531 |@@                                                  |
[32, 64)            1882 |@@                                                  |
[64, 128)            381 |                                                    |
[128, 256)           202 |                                                    |
[256, 512)           116 |                                                    |
[512, 1K)            128 |                                                    |
[1K, 2K)              64 |                                                    |
[2K, 4K)              63 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 115413
@runq_delay_us: 
[0]                  430 |                                                    |
[1]                 8302 |@@@@@@@@@@@                                         |
[2, 4)             36493 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              9050 |@@@@@@@@@@@@                                        |
[8, 16)             1976 |@@                                                  |
[16, 32)            1571 |@@                                                  |
[32, 64)            1911 |@@                                                  |
[64, 128)            385 |                                                    |
[128, 256)           202 |                                                    |
[256, 512)           117 |                                                    |
[512, 1K)            130 |                                                    |
[1K, 2K)              64 |                                                    |
[2K, 4K)              63 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 118628
@runq_delay_us: 
[0]                  433 |                                                    |
[1]                 8471 |@@@@@@@@@@@                                         |
[2, 4)             37577 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              9292 |@@@@@@@@@@@@                                        |
[8, 16)             2008 |@@                                                  |
[16, 32)            1606 |@@                                                  |
[32, 64)            1945 |@@                                                  |
[64, 128)            394 |                                                    |
[128, 256)           206 |                                                    |
[256, 512)           119 |                                                    |
[512, 1K)            131 |                                                    |
[1K, 2K)              65 |                                                    |
[2K, 4K)              63 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 121807
@runq_delay_us: 
[0]                  444 |                                                    |
[1]                 8825 |@@@@@@@@@@@                                         |
[2, 4)             38673 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              9545 |@@@@@@@@@@@@                                        |
[8, 16)             2061 |@@                                                  |
[16, 32)            1655 |@@                                                  |
[32, 64)            1987 |@@                                                  |
[64, 128)            405 |                                                    |
[128, 256)           212 |                                                    |
[256, 512)           123 |                                                    |
[512, 1K)            131 |                                                    |
[1K, 2K)              65 |                                                    |
[2K, 4K)              64 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 125466
@runq_delay_us: 
[0]                  447 |                                                    |
[1]                 8976 |@@@@@@@@@@@                                         |
[2, 4)             39829 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              9770 |@@@@@@@@@@@@                                        |
[8, 16)             2111 |@@                                                  |
[16, 32)            1709 |@@                                                  |
[32, 64)            2023 |@@                                                  |
[64, 128)            409 |                                                    |
[128, 256)           213 |                                                    |
[256, 512)           123 |                                                    |
[512, 1K)            134 |                                                    |
[1K, 2K)              65 |                                                    |
[2K, 4K)              64 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 128755
@runq_delay_us: 
[0]                  452 |                                                    |
[1]                 9183 |@@@@@@@@@@@                                         |
[2, 4)             40942 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             10018 |@@@@@@@@@@@@                                        |
[8, 16)             2161 |@@                                                  |
[16, 32)            1753 |@@                                                  |
[32, 64)            2054 |@@                                                  |
[64, 128)            425 |                                                    |
[128, 256)           215 |                                                    |
[256, 512)           126 |                                                    |
[512, 1K)            135 |                                                    |
[1K, 2K)              65 |                                                    |
[2K, 4K)              64 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 132125
@runq_delay_us: 
[0]                  462 |                                                    |
[1]                 9443 |@@@@@@@@@@@                                         |
[2, 4)             41962 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             10218 |@@@@@@@@@@@@                                        |
[8, 16)             2192 |@@                                                  |
[16, 32)            1785 |@@                                                  |
[32, 64)            2068 |@@                                                  |
[64, 128)            425 |                                                    |
[128, 256)           216 |                                                    |
[256, 512)           126 |                                                    |
[512, 1K)            136 |                                                    |
[1K, 2K)              65 |                                                    |
[2K, 4K)              64 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 135210
@runq_delay_us: 
[0]                  466 |                                                    |
[1]                 9695 |@@@@@@@@@@@                                         |
[2, 4)             42880 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)             10468 |@@@@@@@@@@@@                                        |
[8, 16)             2230 |@@                                                  |
[16, 32)            1805 |@@                                                  |
[32, 64)            2097 |@@                                                  |
[64, 128)            430 |                                                    |
[128, 256)           217 |                                                    |
[256, 512)           126 |                                                    |
